fen,next_move,move_type,material_diff,num_legal_moves,is_in_check,center_control
k5n1/3p4/1Pp5/8/3P4/6K1/8/8 b - - 2 39,d7d6,0,-3,8,0,1
r3kb2/4p3/n7/2p5/P7/Br6/3P1Pq1/R3K3 w Q - 2 28,d2d4,0,-16,16,0,0
8/5k2/2R5/4p3/7p/2p5/4K1P1/8 w - - 2 36,c6d6,0,3,21,0,0
2q1k2r/3p2p1/2p1p2n/1p5p/1P2pPP1/4P2N/5K1P/2B2R2 w - - 2 22,g4h5,1,-8,17,0,2
r1q1krQ1/2pb4/7p/p4nb1/P4p2/2P4P/3P2P1/R1B2KNR w q - 2 18,g8f8,1,-2,29,0,2
8/4k2N/8/8/p3BP2/2P5/3K3P/2B4R w - - 2 29,e4c6,0,16,30,0,3
2Bn1k2/8/1P5R/8/P7/2P2P2/4R1P1/2K3N1 b - - 2 29,f8f7,0,18,7,0,0
2b2b1r/1pk1p1pp/r3pp1n/8/1p2P1P1/7N/1qPPKP1P/1NBQ3R w - - 2 14,h3g1,0,-6,25,0,1
r1bqkbnr/n1pppppp/1p6/pB6/4P3/P6P/1PPP1PP1/RNBQK1NR w KQkq - 2 5,b5d7,1,0,32,0,1
8/1k1b4/p1p5/1r3p2/3P4/8/3K4/8 w - - 2 32,d2d1,0,-10,9,0,1
1nbqkbnr/rppppp1p/p7/6p1/1P6/P7/1BPPPPPP/RN1QKBNR w KQk - 2 4,h2h3,0,0,26,0,2
2k5/8/7p/8/1p3P2/3R4/2K4P/8 w - - 2 40,d3h3,0,5,23,0,3
1nbqkbnr/1pp1p1p1/5p1p/3P4/2r5/7P/P1PP1PP1/R1BQ1KNR w - - 2 12,d2d4,0,-5,24,0,0
8/6b1/2k3p1/8/3p4/3p4/3r4/K7 w - - 2 34,a1b1,0,-11,1,0,0
3k4/8/4r3/8/8/p7/P2K4/4R3 w - - 2 36,e1e6,1,0,17,0,2
1r6/pp5R/2p1k3/4Pp2/1P2p3/1P4P1/P2N4/R1BK1B2 b - - 2 23,e6e5,1,14,16,0,4
1n5n/7r/1k3p2/p2pp3/Pb1PPp2/3K4/1PP4P/RR6 b - - 2 28,e5d4,1,-3,34,0,3
rnbq1b1r/pppkpp1p/6pn/3p4/1P6/2N3P1/P1PPPP1P/R1BQKBNR b KQ - 2 5,d7d6,0,0,24,0,1
2r5/5ppp/p1k5/4n3/5p1P/P7/8/4KBNN w - - 2 23,e1e2,0,-2,18,0,0
8/1p1k1n1p/8/p7/2p2p2/P4P2/R2P4/1N3K2 w - - 2 34,b1c3,0,3,12,0,1
r1b2knr/1p3p1p/n1pp2p1/p7/8/P2K1N2/P1PP1PPP/R1B2B1R w - - 2 12,c1b2,0,0,23,0,4
2b1r3/8/1np5/3pk3/8/3K1P2/P7/8 w - - 2 40,d3c2,0,-11,8,0,3
4k3/8/5pp1/3p4/8/1PP2N2/2K5/qN6 w - - 2 37,f3e1,0,-4,16,0,3
1nbq1bnr/1p1p2p1/3k1p1p/r2N4/1p3P2/4P2N/P2P2PP/R1B1K2R b KQ - 2 12,a5c5,0,-12,29,0,4
4k3/1ppn4/7n/2p2p2/3b4/3P4/4K3/8 b - - 2 26,d7e5,0,-12,27,0,4
6n1/1p1k4/2p2p1r/4p2p/1P2P3/R5PN/2P4R/5K2 b - - 2 22,g8e7,0,4,16,0,3
q3kb1r/3p1p1p/bp3np1/1B2p3/2P5/3PP1P1/1P1B1P1P/1N2K1NR b Kk - 2 13,a8h1,1,-5,33,0,5
5r2/r1pnp1k1/6b1/3P1p2/8/5P2/1PP3P1/2B1K1NN w - - 2 21,c1f4,0,-5,22,0,1
rnbqkb1r/1p1pp1pp/2p2p2/2P5/1p4n1/B6P/P2PPPP1/RN1QKBNR w KQkq - 2 8,h3g4,1,-1,19,0,0
6R1/3k3r/7p/5p2/1P2pq1P/4B3/1K6/8 w - - 2 31,e3f4,1,-7,33,0,1
2k2b2/8/8/3P1Pp1/4p3/8/7B/1K6 w - - 2 36,h2g1,0,0,14,0,1
4k3/p1pp1pR1/b4q2/3p4/8/b4P2/Pr2P1B1/RN2K3 b Q - 2 18,f6g7,1,-6,46,0,3
rk6/p4pp1/np5r/2P1NP2/8/8/P3K2P/RN3B1R w - - 2 22,c5b6,1,6,28,0,0
6k1/1Q6/n7/7p/P6P/4K3/4P3/5B2 b - - 2 34,a6b4,0,11,6,0,0
7r/p2pk3/8/4PPpp/2p5/2K4P/3R4/8 w - - 2 34,d2d7,1,-2,21,0,3
2N3kr/8/3p1p1p/2pp2p1/r7/1P2P1PP/2PP3R/3QK3 w - - 2 22,h3h4,0,7,27,0,1
2b5/1p1k4/1qp2p2/3p4/1n6/4P1K1/3P3P/RN3rNR w - - 2 21,h2h4,0,-5,21,0,1
2k5/8/8/3P2Q1/1p6/N7/5K2/8 b - - 2 40,b4a3,1,12,6,0,0
8/2k5/2p1p3/8/5K2/8/5NPP/1N1R4 b - - 2 28,c7c8,0,11,6,0,2
3N4/6k1/n7/4p3/3b1pP1/8/3P4/5K2 b - - 2 36,d4b2,0,-3,22,0,2
8/8/4kp1n/p7/P3P1p1/8/7b/3K4 w - - 2 40,d1e1,0,-7,6,0,1
8/3k4/8/5P2/1N1P4/P3PKBP/2P5/R2R4 b - - 2 40,d7d8,0,22,4,0,0
2bq4/r1ppk3/1pn2ppn/8/PP6/1R1P3N/3KPPP1/2B2B2 w - - 2 18,b4b5,0,-8,23,0,1
8/p7/3k2rp/1B5P/4pP2/8/1P1P4/1NB1K1N1 w - - 2 31,e1f2,0,8,24,0,1
r2qkbnr/p1p1pppp/1n6/8/2B1P2N/5b2/PPPP1PPP/R1BQK2R b KQkq - 2 7,b6d5,0,-1,36,0,4
8/3k1p2/1P6/2p5/3b3p/8/8/1K6 b - - 2 32,d7d8,0,-5,21,0,2
2rk3r/5p2/2P4p/5n2/6p1/B7/3P2K1/8 b - - 2 37,c8c6,1,-11,20,0,1
rnb1k2r/1p1p1p1p/p1p4n/6p1/2P3P1/NQ1P1N1P/1P2PK1R/2B2B2 b - - 2 15,h6g4,1,6,17,0,1
4rbnr/p3k2p/8/1p4p1/P2RP3/2pP4/2P2PPP/4K1NR w K - 2 20,a4b5,1,-1,21,0,4
rn2kbnr/p1pqpppp/8/1p1p4/3P2b1/7B/PPP1PP1P/RNBQK1NR w KQkq - 2 5,h3g4,1,-1,26,0,2
8/p4p2/8/7p/2b4P/4k2K/8/8 w - - 2 38,h3g3,0,-5,3,0,0
r1bqkb1r/ppppp1pp/5p1n/8/8/7P/PPPNnPP1/R1BQKBNR w KQkq - 2 6,g2g4,0,-2,23,0,1
8/4b3/p5k1/3B4/P2P4/8/2P2P2/3RK3 w - - 2 28,d5b7,0,8,26,0,3
4kb2/4p3/2n2p2/5n2/8/P4K2/3P4/2B5 w - - 2 33,f3g4,0,-6,10,0,1
r2k2r1/p7/n1p4p/4p2p/P3P3/N7/R2P3P/2B1K3 w - - 2 27,e1d1,0,-3,17,0,1
r1bqkb1r/pppppp1p/2n2n2/6p1/4P3/7P/PPPPNP2/RNBQK2R b KQkq - 2 6,f6e4,1,-4,25,0,4
4kb1r/r1p1pp1p/pp3p2/2n5/8/5P1P/PPPQPK1P/R1B2BR1 w k - 2 11,d2b4,0,9,39,0,3
1r6/p1p5/p4k2/5P2/5P2/1PP4B/P3P2b/RN1K4 b - - 2 22,b8b4,0,6,21,0,1
4kb2/3np2r/2p2p1p/5pN1/8/4P2P/1PPQBP2/4K2R b K - 2 15,e7e5,0,9,16,0,4
r4kn1/8/4p3/p1P4p/8/3p2PP/P2K2b1/8 w - - 2 26,c5c6,0,-11,11,0,0
nR6/5k2/5P2/2p3P1/3P4/P5P1/8/4K1N1 w - - 2 35,b8a8,1,9,27,0,1
1k6/2r4p/7K/p7/p4P2/6PN/4b2P/7R b - - 2 35,e2f3,0,0,27,0,0
8/4k3/8/7p/2P2P1P/1P6/2K5/8 b - - 2 35,e7e8,0,3,8,0,0
b5R1/2pk2p1/8/1p6/1P2p3/6P1/2P1P3/5KN1 b - - 2 22,a8c6,0,5,12,0,2
1nb1k1n1/1r1pp3/p1p4b/8/1P1P1Ppp/N1P5/P7/R1B2KN1 b - - 2 18,d7d5,0,-4,21,0,1
1nbqkbnr/rppp1ppp/p7/4p3/2P5/5P1P/PPQPP1P1/RNB1KBNR b KQk - 2 4,d8e7,0,0,29,0,1
5b1r/4n3/1p2p1p1/7p/1P1k1P2/6PN/1RP4P/1N1K4 b - - 2 21,f8h6,0,1,18,0,5
1k6/6Q1/8/5p2/1P5p/4BP2/5N1P/4KB2 w - - 2 29,b4b5,0,19,51,0,5
4kbnr/4pp1p/8/1p1pn1p1/1P1N4/3P1N1P/1BPP1P1P/3QKB1R b Kk - 2 14,e5c4,0,13,19,0,1
1n5r/1P4pp/1p1k4/7Q/3P4/1B2b2R/4K3/1N6 w - - 2 25,b1c3,0,8,40,0,4
r3kbnr/p1p1pppp/1p1q4/8/Pn6/4KN1P/1PPPB3/RNBQ3R b kq - 2 9,d6g3,0,1,43,0,4
1rbq2n1/p1pp2P1/1p4kr/7p/8/1PPP3P/P3NPP1/2R1KBR1 b - - 2 15,g6g5,0,-6,28,0,0
3k4/4b3/7B/p7/5P2/8/2K1N3/1r6 w - - 2 32,c2b1,1,-2,13,0,2
8/1p1b4/1P3k1n/4RP1P/8/8/2P5/4K3 b - - 2 35,f6e5,1,2,15,0,1
rnbq1b1r/p2k2pp/1p1p3n/2p2p2/P7/N2P4/1PP1PP1P/R2QKBNR w KQ - 2 9,d3d4,0,-3,26,0,1
8/3pkp2/4p1p1/2p5/2N5/B3n1P1/P2PK2P/R6R w - - 2 26,e2e3,1,12,33,0,1
1r5r/1pN2p1p/5n2/p3p1p1/P1k5/2P2P1B/2K2P1P/5R1R b - - 2 21,g5g4,0,2,25,0,5
N7/3p2k1/3Bp3/p5p1/8/1P1b1N1P/P1K5/2R2BR1 w - - 2 26,f1d3,1,18,6,1,3
r1bqkbnr/ppppp1pp/n7/5p2/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 2 3,g8f6,0,0,20,0,1
6r1/4k3/7p/8/5P1P/3PK1p1/6B1/b5R1 w - - 2 32,g1a1,1,1,23,0,6
7r/p3p3/5N1k/5p2/1B6/4P1P1/P4P2/R3K1N1 b - - 2 25,h8e8,0,10,17,0,1
rnb1k1nr/p2p1p2/1pp4p/4p1pN/1b6/4PP2/P1PP2PP/RN1QKB1R w KQ - 2 11,h5f4,0,5,26,0,2
1nr1k3/4p3/1p4p1/8/1p2p2r/8/1P1K4/8 w - - 2 38,d2d1,0,-17,5,0,0
rnb3n1/p2p1kp1/1pp1p2r/8/P5P1/4B3/2PPPP2/R2QKB1R b Q - 2 17,h6h1,1,6,28,0,2
r1b1kbn1/pppnpppr/1q6/7p/3P4/4P1P1/PPPK1P1P/R1BQ1BNR b q - 2 7,e7e5,0,-2,35,0,2
5b2/2p1qkp1/3p3r/1P1K4/P5P1/3P2N1/P7/n7 b - - 2 30,h6h1,0,-15,32,0,3
3k4/1p6/2npbpp1/p1p5/P6p/3PK3/2P3PP/5B1R w - - 2 27,f1e2,0,0,14,0,3
rnb2b2/1p1kpp2/p1p5/3p3R/8/1PPN4/3PP3/RNQ1KB2 w Q - 2 15,h5h8,0,12,35,0,4
4r3/4p3/1p2k3/1P2P2p/7P/2K5/8/8 b - - 2 37,e8a8,0,-5,12,0,2
2rk1B2/pp6/8/P5Pp/3b1P2/6K1/7n/6N1 w - - 2 28,g3h2,1,-5,17,0,1
r1bqkbn1/3pnp2/pp6/2p3pr/2P1P2p/8/PPQP1PPP/R1BBK1NR w KQq - 2 10,b2b3,0,-2,27,0,3
r4k2/p6b/2p5/2P3p1/8/1R6/8/6K1 b - - 2 35,h7c2,0,-5,19,0,2
rnb1k1nr/p1pp1p2/1p2p2p/8/4P2q/P6P/P1PPKPP1/RNBQ1BR1 b kq - 2 8,h4e4,1,1,32,0,2
2b2kn1/2r4p/1p1p4/5P2/3B1N2/p1P2PP1/P7/R3K3 b - - 2 24,c7c6,0,1,25,0,1
3q4/3ppk2/p6P/2p2p2/P7/P2KP3/2PP2P1/brB2BN1 w - - 2 21,e3e4,0,-6,14,0,3
r3k3/8/1pp4p/2n5/PQPPb3/R3P1K1/8/2B5 w q - 2 24,g3h2,0,7,26,0,3
r7/pk6/8/8/P2K3B/8/7b/1N3B2 w - - 2 32,f1b5,0,1,25,0,3
rn5r/p1pbp2p/5k1b/8/4P2P/P4P2/3P4/n1K4R b - - 2 19,h8c8,0,-16,35,0,1
4k1n1/8/bP6/5p1p/7P/3P2P1/2p5/4KB1R b - - 2 35,c2c1q,1,3,18,0,1
5bnr/p3kp1p/2Bp1p2/4p3/P1P3Q1/3PP2N/5P1P/RN2K2R b KQ - 2 15,f8g7,0,17,11,0,3
8/1B1k4/5N2/8/p1P2P2/B7/3K3P/R7 b - - 2 34,d7d8,0,16,3,1,0
6k1/5r2/1p6/5p2/1P2bP1p/7P/8/N2K2N1 w - - 2 32,a1b3,0,-2,9,0,1
2R5/5kp1/5n2/3p1p2/1p5R/5P2/1P1PP1P1/1NBQKB2 b - - 2 18,g7g6,0,26,15,0,4
1r2k2r/5pp1/5n2/1p2p2p/1P5P/4PNP1/2P1P3/1N2K2R b K - 2 20,f6d7,0,-1,22,0,3
r3kb2/p1p2pp1/3q3r/1P1pp3/8/1Q4P1/R2PP3/1NB1N1K1 b q - 2 16,g7g5,0,-1,40,0,4
5k2/8/4N3/3PP2n/1PP4P/5K2/1B6/8 b - - 2 40,f8e8,0,8,4,1,0
rnbqk2r/ppp1ppbp/3p1n2/6p1/8/2N1P3/PPPPBPPP/R1BQK1NR b KQkq - 2 5,f6g8,0,0,34,0,3
1nq1kbn1/p1p1p1p1/1pBp3r/3P1p1p/PP3P2/8/2P1P2P/RNBQK1NR b KQ - 2 9,b8c6,1,7,5,1,2
r3kbnr/p2pp1pp/n4p2/2Q5/5P2/3P3b/PP2P2P/R1B1KBNR w KQkq - 2 10,c1d2,0,6,40,0,5
1nb3k1/8/2p1p3/2r1B3/4P3/6P1/5K2/8 w - - 2 29,e5b8,1,-8,19,0,2
bn1k2nr/2p1p2p/5bp1/p7/7P/5P1R/PP1NP3/R1BK1BN1 b - - 2 15,f6h4,1,5,27,0,4
bk6/2p5/8/3p3B/qp1P4/8/3KPP2/6N1 b - - 2 28,c7c6,0,-6,21,0,2
rnbqkbn1/ppppppp1/7r/7p/6P1/2N5/PPPPPP1P/R1BQKBNR w KQq - 2 3,g4h5,1,0,24,0,2
r1b1k1n1/p2p1ppr/2p5/7p/1b6/2P2N2/PP1PP1Bq/R1B1K3 w Qq - 2 12,c3b4,1,-15,22,0,3
Bnb1k2r/2pp3p/8/pN2ppq1/8/6P1/PPPQP1KP/R1B3NR w k - 2 12,d2g5,1,11,42,0,5
rnb1k3/3p1p2/1p5n/2P5/2P1P1q1/7P/1P6/1N2KB2 b - - 2 20,g4h3,1,-15,39,0,1
2rq1bnr/2p2k1p/pp2p3/2n3p1/P1P3P1/5N2/1P1PKPBP/RNB2R2 b - - 2 13,d8d2,1,-5,35,0,4
2b1k2r/1p1n1pp1/2p4p/p7/3N3P/b7/PBP2P1P/R1K4R b k - 2 17,h8h7,0,1,28,0,2
rnb1kb1r/pp1ppp1p/2p2n2/7q/4P2p/P4P2/RPPP1KP1/1NBQ1BN1 b kq - 2 8,h5f3,1,-6,31,0,5
rnb1kb1r/pppp1ppp/4pn2/8/7q/3PB3/PPP1PPP1/RN1QKBNR w KQkq - 2 4,b1d2,0,-1,29,0,2
8/5k2/3p4/4p3/1P2n1p1/2P5/8/5KN1 w - - 2 36,g1f3,0,-1,8,0,1
1n1qk3/1p6/r3p2r/p4R1p/7P/3P4/PP2N1P1/4KB1R b K - 2 20,e6f5,1,-5,30,0,3
3r4/2k4p/2P5/p3p3/4N2P/4K3/1P6/R7 b - - 2 28,d8c8,0,3,21,0,3
rnbq1b1r/pppkp2p/3p1np1/5p2/5P2/P1N5/1PPPP1PP/R1BQKBNR w KQ - 2 6,b2b4,0,0,22,0,3
r2k1b1r/2p1pp1p/3p3p/pB6/8/2P2PPN/Pn1K3P/5RR1 b - - 2 17,d6d5,0,-2,20,0,1
4kr1r/7p/2p5/p3p3/P7/2n5/8/2B1K3 w - - 2 34,c1e3,0,-13,8,0,0
4k1r1/6pp/p7/2b1np2/P5PP/3P2K1/4N2R/8 w - - 2 29,g3g2,0,-3,17,0,2
7r/2p1p1bp/5p1n/1p5k/8/1p1K4/5P2/8 w - - 2 31,d3e2,0,-16,8,0,2
8/7k/4B3/7P/Pp2P1p1/8/2K5/8 b - - 2 35,h7h6,0,4,5,0,0
3rk3/2R3p1/6p1/p2pp1P1/8/b3KP2/PP1R4/8 w - - 2 30,b2a3,1,1,29,0,5
2B1k2r/8/2n1p1pp/P7/5P1P/8/8/1K4NR b - - 2 30,c6a5,1,3,18,0,3
1rb1k3/pp1pn1p1/8/2p1p1N1/P7/1P6/2P1PPB1/RN1QK3 b - - 2 17,g7g6,0,11,17,0,3
rn4kr/p3p3/3p1n1b/1Pp5/2P1P2R/BPN5/R2P1P2/4KB2 b - - 2 20,h6d2,1,2,26,0,4
rnb1kbr1/ppp2ppp/4p3/7n/3q4/8/PPPNPPPP/R1BQKB1R w KQq - 2 7,d2c4,0,-3,21,0,1
r1bqkbnr/pppppppp/8/2n4Q/4P3/7P/PPPP1PP1/RNB1KBNR b KQkq - 2 3,c5a6,0,0,21,0,1
r1bqkbnr/pppppppp/n7/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 2 2,g1h3,0,0,22,0,2
1n1qk3/rp2pp2/3p3P/P7/P1p2p2/2P4b/R2PP3/BN1K3n b - - 2 19,b8c6,0,-12,30,0,1
4kbn1/4pp2/1q6/6p1/1p2P3/6PN/2PP2Kn/2B5 w - - 2 18,g2h2,1,-12,14,0,1
1n3b2/3pkp2/1p4pr/2p5/2P1P1Pp/7P/1P6/2rN1K1R b - - 2 22,c1c4,1,-9,23,0,1
4k3/8/1N6/5p2/7P/1P6/5K2/2N5 b - - 2 39,e8f8,0,7,5,0,1
2r1kbnr/4pp1p/1B4p1/8/p1p1p2P/2N2NP1/RPP1K3/7R w k - 2 23,c3e4,1,0,44,0,5
rn1qkbnr/pbp1pppp/1p1p4/8/1PP5/B7/P2PPPPP/RN1QKBNR w KQkq - 2 4,h2h4,0,0,21,0,1
r3k3/p2b4/2n2p2/8/4Pp2/8/1P4K1/1N6 w - - 2 25,g2f1,0,-9,12,0,1
6n1/8/1p1p1knp/2p5/3PP3/6P1/1PP4K/3Q3R b - - 2 29,c5d4,1,9,17,0,4
2k5/4p3/2n4b/5K2/r1n5/6P1/8/8 w - - 2 31,f5e6,0,-14,5,0,2
r1b5/2q1k3/p1p2pp1/1Pp1p3/8/N3P3/P1PK4/1RB5 b - - 2 22,c5c4,0,-8,30,0,5
8/1N1pk1R1/n4b1p/5n1p/8/1P6/2PNPP1P/3QKB2 b - - 2 25,e7e6,0,16,5,1,3
1n1qkb2/2pnppp1/3p4/p7/P4PQ1/1bN1P3/1P1P3N/2B1K2R w K - 2 15,d2d4,0,1,34,0,4
7r/3nk1p1/3p3p/7P/4PKp1/7N/4P3/6R1 w - - 2 32,f4g4,1,-1,18,0,3
8/p7/2p5/P5r1/4kN2/6P1/4K3/8 w - - 2 39,e2d2,0,-2,14,0,1
2bqkbnr/rpppp1pp/p1n5/5p2/1P6/P4N2/2PPPPPP/RNBQKB1R b KQk - 2 5,f5f4,0,0,21,0,3
1n2kr2/rp3p2/3P4/p1pp3p/P7/1P1P1P2/R1P1K1B1/1N4NR w - - 2 21,h1h5,1,6,25,0,2
rnbqk2r/ppppppb1/6pp/8/6P1/4PN2/PPPP1K1P/RNBQ1B1R b kq - 2 6,g7b2,1,2,27,0,2
r4k2/pp3p2/6p1/8/8/b2N4/3K4/R7 b - - 2 32,a8e8,0,-4,21,0,0
6k1/8/4P3/1pp1p1p1/6p1/P2P2P1/R7/1NK5 w - - 2 35,c1b2,0,7,17,0,1
1r1k2nr/R4ppp/8/1P6/Pn2P2P/1N5b/4P3/6K1 b - - 2 24,b8b5,1,-9,29,0,1
r1bqkbnr/pppppppp/8/n7/5P2/1QP5/PP1PP1PP/RNB1KBNR b KQkq - 2 3,g7g5,0,0,21,0,0
3r4/p3k3/P1p3pn/2P1pp2/8/r5P1/6K1/8 w - - 2 29,g3g4,0,-15,7,0,0
2nk4/8/1p1p4/1P5p/1n6/5K1P/1b6/8 w - - 2 34,f3f2,0,-10,8,0,1
r4k2/2p1p2p/n7/1P3p2/7p/1p2P3/2PP1PK1/B7 w - - 2 21,a1e5,0,-6,23,0,3
5r2/8/7k/3pN3/5P1P/4K1R1/2PPP3/8 b - - 2 31,f8f4,1,7,14,0,1
5k2/B7/8/1N3p2/5P2/1P6/P2PP2P/1R1K4 w - - 2 31,d1c2,0,16,27,0,3
rn2kbr1/1p1b2pp/3pp2B/p1p2p1P/P1P5/3P1P1R/1P2P1B1/RN1Q1KN1 b q - 2 12,g7g5,0,11,21,0,4
r2qk1B1/p3p3/1pnp4/2p2p2/4PP2/NP5r/P1PP3P/b1B1K3 w q - 2 12,e4f5,1,-15,20,0,3
1n6/1rkp2p1/8/5p1p/1P5P/3K4/P4PP1/1R6 w - - 2 28,f2f3,0,-2,23,0,2
5bn1/3kp2r/1p2p1pp/8/5P2/7P/1PP3PR/1NQ1KB2 w - - 2 17,g2g3,0,9,24,0,1
5bn1/4p1p1/r2p1k1r/p1p2p1p/P4P1P/3P1PPR/5K2/8 w - - 2 25,d3d4,0,-12,10,0,3
6r1/5k2/p3p3/8/P2p3b/1N6/3K4/8 b - - 2 37,h4e7,0,-7,30,0,1
Bnbq4/p1ppp3/1p2k2n/4P3/8/N2P4/PPPKR3/R1B5 b - - 2 17,c8b7,0,1,21,0,2
rn2k2r/pBp1n3/7p/4p3/6P1/N2P4/1PPK3R/R1B2q2 w kq - 2 18,h2h4,0,-6,30,0,3
6nr/5kpp/8/1P2Kp2/1P3P2/N7/7q/8 w - - 2 31,a3c2,0,-14,8,0,4
1n6/2bpkp2/6p1/2p5/4P1K1/8/8/8 w - - 2 31,e4e5,0,-9,5,0,1
5B2/8/p3pp2/8/7k/P2K4/2P5/8 b - - 2 39,h4g3,0,2,8,0,2
1n2k3/4p3/7n/1N1B1p2/p4P2/8/PP1PP2P/1RBK4 b - - 2 23,a4a3,0,11,12,0,1
6k1/p4pp1/p7/n7/8/8/5bK1/8 b - - 2 33,f2b6,0,-10,19,0,1
8/3k3B/p7/2p1p3/2P5/2K2R2/P6P/RN6 w - - 2 32,a2a4,0,16,28,0,3
4k3/4p3/8/p2p4/6Br/8/4K3/8 b - - 2 34,h4h8,0,-5,15,0,1
1r2k2r/3p2p1/8/8/2n5/2P4p/PP1K4/RN3R2 w - - 2 27,d2d1,0,0,6,1,1
1k6/8/8/2P5/8/BB5P/2PP2q1/2K3R1 w - - 2 40,c1b1,0,6,23,0,1
8/8/8/k1P2P1p/8/P2B4/3K2PP/7R b - - 2 34,a5a4,0,12,2,0,0
rnb2kn1/p1p5/4p3/p2p1p2/1Rq2P2/2P5/P1N1P2K/2B5 w - - 2 20,b4c4,1,-14,27,0,3
6k1/8/8/8/4p2P/6B1/PP2K3/3R4 b - - 2 40,g8f8,0,10,6,0,0
r1b4q/1pppk1p1/n6n/p7/2PP4/1P2P3/P4KP1/2R5 w - - 2 21,g2g3,0,-17,23,0,3
r1bqkb2/5p2/3pp3/p7/PPPn3P/8/R2PPK2/1N1Q1BN1 b q - 2 18,d8h4,1,2,30,0,2
7k/8/P7/6b1/3K2PP/1P6/5r2/8 b - - 2 40,h8g8,0,-4,26,0,0
8/4k2r/4p3/7p/2BK1p1P/8/7n/2N5 w - - 2 27,c4e6,1,-4,18,0,4
r7/3kp1r1/p3p3/2P4p/1Pp3nP/P3B3/RP4K1/1N5R w - - 2 34,e3d4,0,3,27,0,1
8/pr2p3/4k2n/2K2pp1/2P5/4P2P/8/8 w - - 2 33,c5d4,0,-9,4,0,4
rn2kb2/p2qp1pr/b6B/2p2p2/2P5/P4PP1/1P2P3/RN2KBN1 w Qq - 2 13,h6g7,1,-10,20,0,2
r1b1k2r/3p2p1/pQ6/3n2Np/8/2P4P/PP2K1P1/RN3B1R b - - 2 18,d5b6,1,13,21,0,0
8/8/1k6/4N1B1/p2K4/p4B2/P1P1P3/R2Q4 w - - 2 30,g5e3,0,24,45,0,6
4rbr1/pp2p3/2pp2kp/1P6/5P2/NPP4P/3K3P/R1B5 w - - 2 22,d2d1,0,-2,18,0,2
k7/8/8/K7/2p1p3/B3P1Pp/P2P4/RN1R4 w - - 2 39,a3b4,0,17,21,0,1
rnbq1bnr/ppppp1pp/6k1/6p1/8/2PP3N/PPQ1PPPP/RN2KB1R b KQ - 2 5,a7a6,0,-3,23,0,0
4kb2/4pp1p/pp6/8/6p1/2P5/r1KP3B/8 w - - 2 28,c2b1,0,-9,5,1,2
4kb1r/1pp2pp1/n3p3/4R3/5PP1/2PP4/1P1QB3/1N2K1N1 w - - 2 22,d2d1,0,12,29,0,5
rn6/p3k3/8/3p3p/8/1PPbB2P/4P3/4KB2 b - - 2 25,d3b5,0,-4,25,0,2
rnb3n1/p6r/3p1k1p/1p3p2/1P3P2/2P5/2P1PNKP/1R3B1R w - - 2 21,h2h3,0,-2,21,0,3
8/6k1/6P1/1P1P4/6P1/3B1N2/8/3K4 b - - 2 40,g7f6,0,10,5,0,0
4k3/2p5/3ppbp1/8/8/R1P5/4B3/1N2K3 b - - 2 25,e8e7,0,5,19,0,4
1N2kr2/5p2/4p3/5n1p/8/8/1K6/8 w - - 2 29,b2c1,0,-8,11,0,0
8/5k2/3p2n1/8/3p4/8/8/3K1B2 w - - 2 37,f1b5,0,-2,12,0,0
8/8/5k2/1p6/3P2b1/2K2Pp1/6RP/4R3 w - - 2 32,f3g4,1,8,34,0,5
8/8/5k2/8/1p6/6P1/2K5/5N2 w - - 2 37,c2d3,0,3,11,0,0
rn1qkbnr/ppp1pppp/8/3p1b2/8/2NP4/PPP1PPPP/R1BQKBNR w KQkq - 2 3,c3d5,1,0,28,0,3
6r1/ppp2p2/n2pk2p/4N3/4P3/P2K3P/N1PP4/R1B2B1R b - - 2 17,e6e7,0,13,29,0,3
r4b2/2kn1p1r/p1p5/5P2/3P2n1/N7/PP2P1P1/R3KBN1 b - - 2 19,f8e7,0,-2,40,0,3
8/3kn2p/4p1pb/3p4/2pP2b1/1p6/8/1K6 w - - 2 37,b1b2,0,-14,2,0,1
1nb1kb2/1p1ppp2/2q3r1/2P3p1/8/2N1P2N/PP1P1PPP/R1B1K2R b KQ - 2 11,c6g2,1,-1,32,0,2
5r2/2p1kp1p/8/3p2b1/3P4/R6P/2P1PPP1/1N2KBR1 b - - 2 20,e7d8,0,10,26,0,1
5b1r/2p1pp1p/b2k3p/p2q4/5P2/P5PB/1PP1P2P/R3K1NR b KQ - 2 12,d5h1,1,-3,39,0,5
r1b1k3/pp1p1p2/5n1p/1p4b1/1n1PP1p1/B5P1/P7/RN1K4 w q - 2 20,a3b4,1,-9,9,0,2
1nbqkbnr/r1ppppp1/1p5p/p7/2P5/4PPPN/PP1P1K1P/RNBQ1B1R b k - 2 6,b8c6,0,0,22,0,0
8/3N4/8/8/4P1k1/P1P5/5P1P/R1K4R b - - 2 29,g4f4,0,18,6,0,0
2bqkbnr/2ppp1p1/prn2p2/7p/1P1P3P/N4PP1/PP2P2R/R1BQKBN1 w Qk - 2 9,a1b1,0,1,31,0,3
1n1q4/2k5/5pp1/1P1pp3/1b1p4/5P1B/3PKP2/Q7 w - - 2 26,a1a3,0,-4,31,0,2
